position_sun,velocity_sun,position_earth,velocity_earth,position_jupiter,velocity_jupiter,position_saturn,velocity_saturn,position_neptune,velocity_neptune,position_uranus,velocity_uranus,position_venus,velocity_venus,position_mars,velocity_mars,position_mercury,velocity_mercury
"-468011.8883121092,151780.3309712668,3952.953094934353","-0.0003258233500816845,-0.01163403930534814,6.354747201502055e-05","-36208597.47896259,142827245.8730925,84067.57016955316","-29.38923058167892,-7.345469879141083,-0.005444376094856818","734795831.9718618,87840456.21468413,-16884627.45612123","-1.711418927962744,13.59088723021772,-0.01543353736894471","-788974551.671683,-1263326095.890456,53745891.06141633","7.651027428289614,-5.158165246598302,-0.2093563634681983","-2220006937.202217,3899151159.679335,-29159071.07697368","-4.754716874361391,-2.655525978864042,0.1641209273156509","2433895323.08558,-1738528019.370214,-38340564.08792901","3.902943987657815,5.228885111727971,-0.03101447702820304","69120594.23603946,82818405.06092733,-2953817.996222448","-26.90275403106899,22.38941126504703,1.848700833101372","177073702.4420656,122824201.1419298,-1896523.353366882","-12.80692729641472,21.96789823182574,0.7801944171033854","-14940515.39784285,-68011809.8992632,-4204295.767439425","37.89224236079752,-7.597936496536684,-4.119489036776168"
"-378467.817837759,-185816.5845392546,3795.070022972715","0.005864000933944094,-0.009201472520037854,-6.873044045043776e-05","-35484154.71740879,142655329.4191826,82526.32167001069","-29.41808679472956,-7.233285683621293,-0.006043710582998241","567492037.6209549,479833057.4648454,-14673829.57055461","-8.596765590317471,10.59821530525294,0.1514136342149071","-533681764.1006369,-1399924230.956202,46106270.78361011","8.48236324238912,-3.482707917662701,-0.2723606601494037","-2368300658.876252,3812582580.624429,-23962204.44062543","-4.649012450628793,-2.834816952722487,0.1652497918029564","2550879950.879718,-1569481254.718213,-39227405.94376409","3.513294018363199,5.487453423295687,-0.02499650313443658","10724280.98153811,-108415139.3541216,-2043816.665965788","34.60427531651181,3.434848075591342,-1.959141281396591","-211452534.0076427,-112940802.5194727,2953413.491703801","12.36931885416699,-19.33571271749861,-0.7137144843341288","28003284.94272231,-59370341.0493231,-7434809.354023188","34.19798542745901,23.56366435310562,-1.242341452141735"
"-125394.3328832355,-398045.4287013639,-243.9986412073777","0.009758550921079738,-0.003802094744023258,-0.0001729811162643345","-34573826.13109529,142590642.7656642,78695.38335245848","-29.42710533351322,-7.084554502874352,-0.004470543001535709","222896222.2906426,722943206.5829668,-7884390.860505223","-12.64865850697126,4.469253733195212,0.2668445511115396","-257493892.3951058,-1481767821.770806,36662150.27143055","8.97306340449416,-1.694640500853172,-0.3240759610162552","-2513134224.6868,3720443067.946366,-18730296.73306847","-4.536034508228675,-3.008403235927162,0.166408554023334","2655326913.388945,-1392719415.445702,-39921439.0614844","3.10785003670518,5.718070161184799,-0.01895437503554298","-82671567.55224599,68193310.12189129,5670938.922804814","-22.50570896435509,-27.12101751537141,0.9518244799152171","115810245.1600349,190942415.5893613,1079166.547026396","-19.75391316303384,14.58919428236184,0.8005479951016046","53363708.75393672,-17047555.64545962,-6298561.486292781","5.03878058393477,48.77154421517466,3.503549380910542"
"189022.7236554295,-421741.1095213876,-6096.524373940221","0.009855561903053716,0.002252188473068533,-0.0001921770257314249","-33599886.91363302,142729359.2515553,72660.9106727913","-29.48151777915633,-6.93995292844524,-0.006522042610484391","-189058698.1559705,752238179.2962409,1267923.494602382","-12.83292728320907,-2.570339831476224,0.2988913266985246","28671715.92227765,-1506275556.057373,25798611.76144063","9.114544201232622,0.145005335184027,-0.3629645371302763","-2654297654.881167,3622872353.510787,-13470976.84153891","-4.415926348620991,-3.178453513436937,0.1671391258353354","2746765928.710815,-1209135798.734728,-40419876.46059757","2.688507245062491,5.919964109112323,-0.01283871407673409","108351072.5009646,7857827.997760561,-6162895.887512737","-2.808108053624519,34.75984888573895,0.6142237168195503","-151670532.9718204,-175628270.7381957,152274.2359337062","19.27134507604265,-13.81533359962125,-0.7720302548848901","29861247.31929395,35813676.10036274,199840.5015783235","-47.32174762771665,32.94885509898258,7.054878246728755"
"456393.5985868843,-263609.1766951701,-11422.87777078325","0.006770717680778921,0.007470994543178877,-0.0001315812144881199","-32695892.68111963,143037655.1538401,67139.32022768259","-29.50648025201293,-6.822656983615272,-0.004440355389082828","-550211233.0120993,573567697.8528115,10101756.76916999","-9.586942650858056,-8.432123319018292,0.249167918407474","313741284.0384895,-1472766521.262403,13940962.16684169","8.905131393806423,1.975900346769793,-0.3876026651720376","-2791589126.30028,3520016321.184988,-8192165.573522806","-4.290350860341244,-3.343626317508658,0.1676328828525924","2824784150.601919,-1019646268.295907,-40720783.21291322","2.257115669237741,6.092473715438876,-0.006567677545213702","-68302573.64667891,-83908894.9443494,2884677.78101857","26.81145207652537,-22.39983933086966,-1.843429576271257","35752769.32221264,229047032.938969,3885630.095786765","-22.98071610269201,5.72619385461849,0.6962874388332416","-31654000.66699221,36877340.6159163,5978133.635041287","-46.68040635086799,-29.84792350989418,1.885410940437321"
"592743.4190149835,19500.77554200938,-14113.82264325211","0.00186927146231178,0.01017149787269472,-3.301623850836787e-05","-31894744.24607778,143469377.2259527,65016.54349609464","-29.52932968563575,-6.668101259176623,-0.005593888836641359","-770621125.0594566,246605775.0969279,16357314.4044521","-4.140338529641834,-11.83054603221011,0.1400683932019593","586708054.7534478,-1382435707.609049,1545448.554543138","8.350151005838795,3.738758953143009,-0.397102898656712","-2924812877.763156,3412030813.572666,-2901311.61972928","-4.157895356496444,-3.503041670318669,0.168044190179077","2889027467.860374,-825186777.8783466,-40823084.49707031","1.815474040434878,6.235021566753526,-0.0001526163791290003","-6966950.780805395,107354964.0815607,1817436.44996392","-35.05449425429308,-2.640405911090605,1.995771603908535","-70110684.25042032,-212064455.8817344,-2663879.549246401","23.93921931321011,-5.59430996365106,-0.7178718284198031","-58577032.81640148,-10829830.04935385,4571301.885809771","-1.318957093608851,-45.73965821816471,-3.600521633642401"
"556399.0141958704,345971.3790803773,-12977.42752545123","-0.003956062277450214,0.01003522346122834,0.0001046030903559423","-31276759.79394164,143950210.1614044,65119.07414662838","-29.58822504249072,-6.539288977958534,-0.004863977891087945","-803035244.5303588,-141135933.1019733,18624761.20206611","2.103233027864608,-12.25460320643169,0.00127076422664274","836851577.8001151,-1238344639.234682,-10909630.63078105","7.461823639210234,5.374588140337844,-0.3909848509264984","-3053777900.391572,3299077581.582885,2393816.438854933","-4.019469222779716,-3.658699548846699,0.1679055264382237","2939201352.53939,-626710906.7298689,-40726561.93696353","1.365403673243491,6.347090366215538,0.006270072331880261","82863686.49018304,-70805251.11873983,-5703635.732424255","22.67022160888949,26.36864707940174,-0.970605577415375","-50134977.80184266,234308398.0414401,6140668.188486084","-22.72604762605093,-3.085028211043621,0.5059238738254","-41100640.36452612,-53651671.76156536,-557096.727635935","28.71569578171709,-27.40159409686154,-4.884436441306748"
"347484.1575780321,626155.8089496549,-7768.075925626239","-0.009014127082229676,0.007366995697661157,0.0002294347600499368","-30844644.88716146,144360756.8629724,70671.72898897529","-29.60487944556437,-6.424644268520941,-0.004057249656522099","-643711256.4224564,-495220297.6661945,16445624.68634385","7.808249089265437,-9.73991637875887,-0.1369550264144697","1053975156.311399,-1045423857.280743,-22933367.34677017","6.260628534703425,6.824229969360198,-0.3690685944058085","-3178302270.607468,3181325336.09649,7685345.743800879","-3.876310536433652,-3.808202796236025,0.1676429824657897","2975071362.791687,-425187284.896534,-40431846.208675","0.9088042788615394,6.428228889546293,0.01255274380220817","-106869357.9945531,-8271218.749847398,6085479.393123298","2.672487691957049,-35.05181305729152,-0.6106068984752895","22065187.75906355,-213905118.1311882,-5028354.669873059","25.04768584218503,4.505321088928326,-0.534909543279551","-1157119.446627338,-68568186.08113652,-5499107.754431687","38.93851269542883,1.516671440038189,-3.476121291176021"
"2136.857411635825,779546.5180663572,998.5592291427893","-0.01225315121308209,0.002127863751488595,0.000315307050320859","-30521995.71664817,144654129.2480524,78797.49254605919","-29.63745553977233,-6.275149837223307,-0.005408814592980704","-329250169.9510937,-729306123.8976142,10301040.85539532","11.74729716299449,-4.757733446006839,-0.2453450395380512","1228679982.020795,-810475171.2635704,-34032990.57760644","4.7769582903467,8.028838788784563,-0.331703112322256","-3298209016.96541,3058951436.252617,12965879.77679038","-3.72683280772223,-3.95177110259381,0.16720640026997","2996463395.994359,-221596931.442399,-39940411.54493526","0.4476297857797739,6.478079124396633,0.0186654915478206","72135587.35246529,81257783.38477266,-3130465.10107759","-26.20132576593636,23.22499351876606,1.818678299236513","-130072983.231022,208403885.4682488,7597142.981460229","-19.59129582505065,-10.82309210823377,0.2659384739209654","39016054.29199252,-48965945.92189296,-7652057.698223114","28.63612997919782,32.49161477505525,-0.003342328310081299"
"-406214.773871493,748527.0346380795,11798.27690937353","-0.01296101065434251,-0.004294148287142102,0.0003572351527199469","-30277485.97230805,144770493.1915227,89313.7871837914","-29.68328005213504,-6.161453979149051,-0.003169224509455226","67283948.87823312,-779070610.7475525,1579607.431811333","12.85375542376145,1.745046623107118,-0.2960788821686958","1352691461.847955,-542151715.7865646,-43727194.7590948","3.052265077920318,8.930716105008333,-0.279621303689837","-3413327368.613302,2932137003.006605,18227571.31453419","-3.57247050403292,-4.090445438889743,0.16630805093382","3003263740.435934,-16930523.27711965,-39254571.54945816","-0.01618921424634398,6.496391447050701,0.02469128932404629","7370920.637582459,-107760283.9749299,-1849033.925002478","34.67877052078599,2.368679222019683,-1.977771409896615","109534650.9147785,-177640367.8776362,-6468569.67973949","21.56888119421885,14.76094597704242,-0.2332657220114323","52386249.73254593,981273.0954052289,-4847592.672231507","-9.616552353343039,50.95816894823466,5.034688980990488"
"-778832.6581551273,509735.5730017395,22408.24273044069","-0.009945060054287932,-0.01055802686016658,0.0003035545642298978","-29987198.85583793,144657219.2878321,100010.4076670557","-29.68566484748747,-6.040555892373113,-0.005238635827075289","444253674.684669,-619054773.3289503,-7533384.688759476","10.4499773612508,8.241905109250997,-0.2676759920250649","1419244367.514043,-250886726.6561044,-51562473.25008385","1.141515771829883,9.475440645803486,-0.2140497628407809","-3523496233.712224,2801069880.712963,23462740.43392456","-3.413758719926967,-4.221720894250256,0.1654473193171191","2995418951.441545,187814455.7023342,-38377472.69235864","-0.4807985372895831,6.483022014185083,0.03070372199564675","-81124575.12774055,71666558.1283033,5600396.908954002","-23.36092113313907,-26.41173809255363,1.00926596848538","-194264550.2026617,156119660.6382844,8123910.313839182","-14.2452465173254,-16.85015685051395,0.006235796469113986","11186482.37533779,44865118.17459963,2526122.613970153","-56.7819699584909,14.57653077298777,6.433160976824171"
"-1009966.636210308,98318.12516592769,30304.24031583021","-0.003973751487841577,-0.01502812641494432,0.0001778685260976189","-29545222.40058684,144384777.777249,107166.83019761","-29.71753913641794,-5.889989413470838,-0.003880917081886981","691146469.0385929,-280394359.6946913,-14428951.80665632","4.746224531654924,12.73116081277704,-0.1571457889764236","1423518106.41542,51268444.80247909,-57132763.74097401","-0.8858726754141816,9.615483098208246,-0.1368416278084248","-3628559879.504886,2665944958.08009,28664099.16877997","-3.249090555799083,-4.346988543578486,0.1643258331341135","2972935724.959225,391636900.358927,-37313079.23311448","-0.944358695036708,6.437926712761247,0.03666463800844921","107371349.3778355,5040166.410953058,-6181611.46007637","-1.747393754664946,34.80814770585445,0.5539827715762069","175470769.0981557,-107498897.4202256,-6642956.709484339","13.56945828592394,22.72296048987487,0.1339605440914688","-46655921.45696766,25237540.15175086,6293643.636547823","-33.48095412679894,-40.56860209306087,-0.2066635310779787"
"-1017548.264570104,-393674.7807980569,33136.69218621565","0.003666201909202067,-0.01545222034535517,2.31809918800098e-06","-28910945.99291404,144027716.1261749,110524.6446463987","-29.74272237231674,-5.776815294269703,-0.004168465983235947","724854156.8191221,143597139.6787633,-16868668.33179183","-2.698291653757503,13.43708745379378,0.007390180991346362","1363098169.088771,350948749.4513876,-60102065.43069717","-2.946105598949948,9.31574405644001,-0.05042488293927416","-3728371038.724246,2526960216.124464,33823854.56821549","-3.080531232936723,-4.466409890344336,0.1628264343225219","2935881626.150416,593535984.391607,-36066150.82895088","-1.404887295940479,6.361167599903059,0.04245836241414169","-72311846.35141355,-81850207.17302752,3102124.514579654","26.10707991895113,-23.25019293444954,-1.813809579561767","-234976809.5744096,84686072.57615906,7678980.653837983","-7.330882263123805,-20.74255982933867,-0.2484071062896973","-58710304.62903669,-26111512.25999226,3270962.668675443","9.791344016925333,-42.32532120747931,-4.347434788948135"
"-788730.233662966,-837735.4124158146,30101.23871676065","0.01071590130773022,-0.01194698605057051,-0.0001893264634481836","-28018230.84326138,143703508.4620551,106568.917711474","-29.739694995912,-5.63384514510021,-0.005340749883365525","529637168.8662222,522090140.9669856,-13980742.12340742","-9.322587587194246,9.926587445458537,0.1702768570117148","1238463199.548375,633987274.3394096,-60233033.08604187","-4.939177439333126,8.560541068489549,0.04174321877085019","-3822792046.400786,2384320912.1581,38934670.284181","-2.907750128999684,-4.578213889770606,0.1613325630309637","2884388069.106474,792515070.5723749,-34642219.88030115","-1.860172115000353,6.252881836672682,0.04800093315988674","-4980193.642963704,106700123.9963538,1671718.452433161","-35.10550415187627,-1.564503718477211,2.013131376709827","206471076.5571839,-15869656.18647929,-5484185.438940174","2.72770560027889,26.19849971709095,0.4784765790170358","-31897490.77923489,-62733281.51861216,-2132565.711185411","33.74050538961505,-19.45867720681188,-4.699219205556703"
"-384628.5719608039,-1117657.997781589,22074.8717871944","0.01450093137408742,-0.005554289318087572,-0.0003093425188514082","-26945171.08242659,143552169.7399518,98691.27240903676","-29.78000684541526,-5.480162000288379,-0.00346179301304339","169518090.1796932,739203490.0715857,-6744645.967362553","-12.88373461802995,3.54559919570695,0.2756993223562767","1053469690.095263,886088965.9640235,-57423123.36364275","-6.753222029709057,7.357253534379993,0.1350343583226605","-3911690671.822714,2238237549.62007,43989407.28432596","-2.729752338195573,-4.6842435005565,0.1594172645014833","2818653214.862881,987583256.7915504,-33047580.21521443","-2.307963280227251,6.113227412384374,0.0532897834838062","79710316.41066653,-74761274.76522988,-5574092.509886261","23.48824728871307,25.64034741870908,-1.025905073986381","-247254138.9222768,3469118.684060707,6311294.222377335","0.5085892230418326,-22.18441909429705,-0.4753962067421185","11144924.42625563,-68244614.49460396,-6505882.829757448","38.27040438173234,10.80809766280249,-2.654885249680952"
"84157.20847869494,-1178118.887937402,11258.12186419056","0.01470431921196995,0.001713239603149224,-0.0003568310724157846","-25829833.26697079,143605926.9270729,87563.91667239368","-29.80220810472115,-5.363398861150304,-0.005553451350378547","-241770800.7067492,739538421.914785,2503177.068980575","-12.5693680654315,-3.435807366833089,0.2963071230785284","815547521.1014781,1093632207.139356,-51725595.35852736","-8.276134973520394,5.742832507440857,0.2242971174745518","-3994944110.029459,2088923112.85506,48980488.82099438","-2.549134919954575,-4.783669610194934,0.1571805233073571","2738940503.309024,1177756259.457864,-31289296.99634594","-2.74622943544591,5.942462612667022,0.05835550414744572","-107337652.1807887,-6703977.440244569,6159439.846938815","1.602639056793501,-35.13089221432072,-0.5495544323074046","196666406.8579407,79592272.52111799,-3235149.04929762","-8.224770875685996,24.45771296929815,0.7165176895919743","47456714.85231149,-38607480.72044776,-7411490.230503028","20.61800349135769,40.56330803484056,1.396991171123803"
"502936.8673087903,-1028727.171885309,340.2943465664284","0.01166162931820432,0.007489553325533242,-0.0003294946762042337","-24743490.61285124,143868588.6963512,76306.21684776992","-29.81355509516262,-5.207954526444187,-0.003611394102632337","-588427323.525909,537458359.2144516,11102040.73014006","-8.962240481510248,-9.02498579357491,0.2374466029984039","535571058.1549846,1244701099.976635,-43359007.32415313","-9.40363440399838,3.789140763955982,0.3040616905019358","-4072438086.328991,1936597133.517439,53901019.26584089","-2.36464955349431,-4.875343382063118,0.1549127683438085","2645576233.72251,1362059869.255443,-29375222.68863803","-3.17311205974588,5.741008185214844,0.06318128874809803","75114499.98151504,77184565.66872679,-3301855.625658065","-25.43781196009549,24.02923239662564,1.785921897505082","-229501883.9325513,-77438889.4788374,4174646.504439052","8.592576426385545,-20.9371804070828,-0.6525433844595856","47322571.56198657,16015716.67407633,-2938090.736682656","-26.08769978825765,48.01787228605823,6.318080130247456"
"787938.7483150545,-727991.6995476898,-8575.474724486761","0.006351390468405683,0.01107074747219224,-0.0002297217641659545","-23800418.76960238,144296295.8459736,67609.27207947522","-29.86172773556076,-5.067374988484775,-0.00438249796675394","-785863511.7291191,197536568.732931,16893153.78881267","-3.338213055977805,-12.05036318083615,0.1230476955705484","227426973.9536866,1330171840.902334,-32709613.01683599","-10.05123050467242,1.601158878918355,0.3689684853300551","-4144064497.824139,1781481676.298518,58744026.88356304","-2.176428230340123,-4.960849056378748,0.1522106544188597","2538949389.397531,1539534537.520858,-27313998.97557545","-3.586729496427003,5.509416991674977,0.06768716064149682","5230055.258068953,-109412317.7252554,-1681005.875875071","34.75865434868867,1.309464371144237,-1.995547615585214","149713828.7361416,160820536.970546,-372334.7863827571","-16.84680541576743,18.48000491272073,0.8078040839204794","-6756965.037203846,45052577.75920718,4414242.660274679","-57.80867209818947,-6.070012545412038,4.846057765663197"
"894788.5959981806,-360778.1209285441,-14095.06084180079","0.0005568236822432314,0.01185765793105978,-0.0001146516737681492","-23042625.02972762,144765983.4457219,60821.85343371332","-29.87893712462499,-4.95380408505034,-0.004342316041692662","-792555130.2378551,-191010284.5111245,18587934.64944706","2.904764093355862,-12.08498863641007,-0.01728620547294657","-92811227.80377504,1344644750.466195,-20315959.30096531","-10.16643813339741,-0.6911164072240502,0.4145451529688268","-4209726400.585963,1623801142.276357,63502308.5356884","-1.986732943767232,-5.038749700962764,0.1493450102200755","2419512518.461961,1709239768.303764,-25115046.85843301","-3.985059820004749,5.248354413435568,0.07179462041328821","-77172384.60841407,73295414.91697055,5465682.936272983","-24.16255126068779,-25.64595001059639,1.06478330403954","-182879276.865037,-147943518.5572003,1514899.408656448","16.11532131724188,-16.82973105099913,-0.7556688306138968","-53617509.2142355,10140846.56418533,5876511.152139876","-19.30162087842972,-45.66556347413797,-1.934412095239686"
"818886.3853233637,-15478.01183481788,-15642.86973533606","-0.004906508785080935,0.009621723101514892,1.005395765718261e-05","-22446526.59739527,145214856.7823603,59812.63644195348","-29.90037438433975,-4.798890841326979,-0.002939965934237065","-610000009.2856799,-534076601.5394275,15845748.14811051","8.452228521037792,-9.217674535302296,-0.1534304597897669","-408050150.0634037,1287049843.70996,-6834041.450062096","-9.737527908828564,-2.945337376307631,0.4377262439459669","-4269335351.235074,1463785973.688309,68169434.39703631","-1.793419500704098,-5.108635121952742,0.1464709366974135","2287782554.423757,1870258357.703095,-22788551.53124237","-4.365976700247979,4.958614836859345,0.07550585278303368","109314676.0900739,1584036.900923039,-6277073.245506486","-0.6730310700719309,34.86555838086043,0.4927690851965387","76622185.73055539,214989224.640348,2569941.553413182","-21.90191906977478,10.10517206680569,0.7597827688659882","-51975247.77855662,-39098568.410996,1680668.596655799","19.01784057259963,-36.91136966857138,-4.76216375580456"
